parameters,validation_score,train_score,rank
"{'n_estimators': 400, 'min_samples_split': 10, 'min_samples_leaf': 3, 'max_features': 200, 'max_depth': 80}",0.8805,0.9924999999999999,1
"{'n_estimators': 400, 'min_samples_split': 12, 'min_samples_leaf': 6, 'max_features': 200, 'max_depth': 80}",0.8705,0.9790000000000001,7
"{'n_estimators': 500, 'min_samples_split': 12, 'min_samples_leaf': 3, 'max_features': 1000, 'max_depth': 50}",0.8760000000000001,0.991125,3
"{'n_estimators': 400, 'min_samples_split': 10, 'min_samples_leaf': 6, 'max_features': 1000, 'max_depth': 40}",0.869,0.9811250000000001,11
"{'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 6, 'max_features': 800, 'max_depth': 50}",0.8634999999999999,0.9814999999999999,20
"{'n_estimators': 400, 'min_samples_split': 12, 'min_samples_leaf': 5, 'max_features': 400, 'max_depth': 80}",0.8724999999999999,0.984375,5
"{'n_estimators': 500, 'min_samples_split': 12, 'min_samples_leaf': 6, 'max_features': 1000, 'max_depth': 80}",0.8640000000000001,0.9821249999999999,18
"{'n_estimators': 500, 'min_samples_split': 10, 'min_samples_leaf': 5, 'max_features': 400, 'max_depth': 30}",0.8695,0.987125,10
"{'n_estimators': 500, 'min_samples_split': 10, 'min_samples_leaf': 5, 'max_features': 800, 'max_depth': 40}",0.873,0.9866249999999999,4
"{'n_estimators': 400, 'min_samples_split': 12, 'min_samples_leaf': 6, 'max_features': 600, 'max_depth': 40}",0.8644999999999999,0.98125,17
"{'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 6, 'max_features': 800, 'max_depth': 60}",0.868,0.9810000000000001,12
"{'n_estimators': 500, 'min_samples_split': 12, 'min_samples_leaf': 5, 'max_features': 400, 'max_depth': 50}",0.868,0.9833750000000002,12
"{'n_estimators': 500, 'min_samples_split': 12, 'min_samples_leaf': 6, 'max_features': 800, 'max_depth': 40}",0.8635000000000002,0.9817500000000001,19
"{'n_estimators': 300, 'min_samples_split': 12, 'min_samples_leaf': 3, 'max_features': 800, 'max_depth': 80}",0.8800000000000001,0.99,2
"{'n_estimators': 500, 'min_samples_split': 8, 'min_samples_leaf': 6, 'max_features': 600, 'max_depth': 50}",0.865,0.9821249999999999,15
"{'n_estimators': 400, 'min_samples_split': 8, 'min_samples_leaf': 5, 'max_features': 1000, 'max_depth': 40}",0.8704999999999998,0.986375,8
"{'n_estimators': 400, 'min_samples_split': 8, 'min_samples_leaf': 6, 'max_features': 1000, 'max_depth': 30}",0.8645000000000002,0.98225,16
"{'n_estimators': 400, 'min_samples_split': 12, 'min_samples_leaf': 5, 'max_features': 800, 'max_depth': 40}",0.8710000000000001,0.9848750000000001,6
"{'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 6, 'max_features': 600, 'max_depth': 40}",0.868,0.982,12
"{'n_estimators': 500, 'min_samples_split': 12, 'min_samples_leaf': 5, 'max_features': 1000, 'max_depth': 40}",0.8699999999999999,0.9855,9
