parameters,validation_score,train_score,rank
"{'C': 1, 'gamma': 0.1}",0.13499999999999998,1.0,25
"{'C': 1, 'gamma': 0.01}",0.4,1.0,20
"{'C': 1, 'gamma': 0.001}",0.8204999999999998,0.9793749999999999,12
"{'C': 1, 'gamma': 0.0001}",0.8074999999999999,0.8571250000000001,14
"{'C': 1, 'gamma': 1e-05}",0.5449999999999999,0.5683749999999999,15
"{'C': 10, 'gamma': 0.1}",0.14550000000000002,1.0,21
"{'C': 10, 'gamma': 0.01}",0.4285,1.0,16
"{'C': 10, 'gamma': 0.001}",0.8480000000000001,1.0,8
"{'C': 10, 'gamma': 0.0001}",0.901,0.976375,6
"{'C': 10, 'gamma': 1e-05}",0.8164999999999999,0.857625,13
"{'C': 100, 'gamma': 0.1}",0.14550000000000002,1.0,21
"{'C': 100, 'gamma': 0.01}",0.4285,1.0,16
"{'C': 100, 'gamma': 0.001}",0.8480000000000001,1.0,8
"{'C': 100, 'gamma': 0.0001}",0.9129999999999999,0.999375,1
"{'C': 100, 'gamma': 1e-05}",0.8949999999999999,0.9688749999999999,7
"{'C': 500, 'gamma': 0.1}",0.14550000000000002,1.0,21
"{'C': 500, 'gamma': 0.01}",0.4285,1.0,16
"{'C': 500, 'gamma': 0.001}",0.8480000000000001,1.0,8
"{'C': 500, 'gamma': 0.0001}",0.9109999999999999,1.0,3
"{'C': 500, 'gamma': 1e-05}",0.9125,0.9977500000000001,2
"{'C': 1000, 'gamma': 0.1}",0.14550000000000002,1.0,21
"{'C': 1000, 'gamma': 0.01}",0.4285,1.0,16
"{'C': 1000, 'gamma': 0.001}",0.8480000000000001,1.0,8
"{'C': 1000, 'gamma': 0.0001}",0.9109999999999999,1.0,3
"{'C': 1000, 'gamma': 1e-05}",0.9109999999999999,0.9991249999999999,3
