parameters,validation_score,train_score,rank
"{'n_estimators': 300, 'min_samples_split': 12, 'min_samples_leaf': 5, 'max_features': 130, 'max_depth': 40}",0.7710000000000001,0.9852500000000001,15
"{'n_estimators': 300, 'min_samples_split': 12, 'min_samples_leaf': 6, 'max_features': 130, 'max_depth': 20}",0.7675,0.979875,18
"{'n_estimators': 400, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 90, 'max_depth': 40}",0.7825,0.9948750000000001,5
"{'n_estimators': 400, 'min_samples_split': 10, 'min_samples_leaf': 6, 'max_features': 70, 'max_depth': 20}",0.7805,0.9835,6
"{'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 6, 'max_features': 70, 'max_depth': 50}",0.7865,0.9835,2
"{'n_estimators': 500, 'min_samples_split': 12, 'min_samples_leaf': 4, 'max_features': 90, 'max_depth': 50}",0.78,0.991875,7
"{'n_estimators': 300, 'min_samples_split': 8, 'min_samples_leaf': 4, 'max_features': 150, 'max_depth': 60}",0.7765000000000001,0.9955,11
"{'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 3, 'max_features': 90, 'max_depth': 40}",0.7885000000000001,0.9964999999999999,1
"{'n_estimators': 400, 'min_samples_split': 8, 'min_samples_leaf': 4, 'max_features': 90, 'max_depth': 40}",0.784,0.9970000000000001,4
"{'n_estimators': 500, 'min_samples_split': 8, 'min_samples_leaf': 5, 'max_features': 110, 'max_depth': 30}",0.7795,0.989875,8
"{'n_estimators': 400, 'min_samples_split': 12, 'min_samples_leaf': 3, 'max_features': 150, 'max_depth': 50}",0.7745,0.9928750000000001,12
"{'n_estimators': 300, 'min_samples_split': 12, 'min_samples_leaf': 5, 'max_features': 90, 'max_depth': 20}",0.7845,0.986,3
"{'n_estimators': 300, 'min_samples_split': 12, 'min_samples_leaf': 5, 'max_features': 130, 'max_depth': 30}",0.772,0.9858750000000001,13
"{'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 6, 'max_features': 110, 'max_depth': 50}",0.765,0.9797499999999999,20
"{'n_estimators': 500, 'min_samples_split': 10, 'min_samples_leaf': 6, 'max_features': 130, 'max_depth': 40}",0.7695000000000001,0.9804999999999999,16
"{'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 5, 'max_features': 150, 'max_depth': 30}",0.7695000000000001,0.98925,16
"{'n_estimators': 300, 'min_samples_split': 8, 'min_samples_leaf': 6, 'max_features': 150, 'max_depth': 30}",0.7675,0.978,18
"{'n_estimators': 400, 'min_samples_split': 10, 'min_samples_leaf': 6, 'max_features': 110, 'max_depth': 50}",0.7775000000000001,0.9806249999999999,10
"{'n_estimators': 400, 'min_samples_split': 12, 'min_samples_leaf': 4, 'max_features': 90, 'max_depth': 60}",0.7795,0.9912500000000002,8
"{'n_estimators': 500, 'min_samples_split': 12, 'min_samples_leaf': 5, 'max_features': 130, 'max_depth': 60}",0.7715,0.985625,14
