parameters,validation_score,train_score,rank
"{'estimator': SVC(), 'estimator__C': 10, 'estimator__gamma': 0.001, 'estimator__kernel': 'linear'}",0.45999999999999996,1.0,154
"{'estimator': SVC(), 'estimator__C': 10, 'estimator__gamma': 0.001, 'estimator__kernel': 'rbf'}",0.43999999999999995,1.0,168
"{'estimator': SVC(), 'estimator__C': 10, 'estimator__gamma': 0.0001, 'estimator__kernel': 'linear'}",0.45999999999999996,1.0,154
"{'estimator': SVC(), 'estimator__C': 10, 'estimator__gamma': 0.0001, 'estimator__kernel': 'rbf'}",0.45999999999999996,0.9800000000000001,154
"{'estimator': SVC(), 'estimator__C': 10, 'estimator__gamma': 1e-05, 'estimator__kernel': 'linear'}",0.45999999999999996,1.0,154
"{'estimator': SVC(), 'estimator__C': 10, 'estimator__gamma': 1e-05, 'estimator__kernel': 'rbf'}",0.27999999999999997,0.635,176
"{'estimator': SVC(), 'estimator__C': 100, 'estimator__gamma': 0.001, 'estimator__kernel': 'linear'}",0.45999999999999996,1.0,154
"{'estimator': SVC(), 'estimator__C': 100, 'estimator__gamma': 0.001, 'estimator__kernel': 'rbf'}",0.43999999999999995,1.0,168
"{'estimator': SVC(), 'estimator__C': 100, 'estimator__gamma': 0.0001, 'estimator__kernel': 'linear'}",0.45999999999999996,1.0,154
"{'estimator': SVC(), 'estimator__C': 100, 'estimator__gamma': 0.0001, 'estimator__kernel': 'rbf'}",0.45999999999999996,1.0,154
"{'estimator': SVC(), 'estimator__C': 100, 'estimator__gamma': 1e-05, 'estimator__kernel': 'linear'}",0.45999999999999996,1.0,154
"{'estimator': SVC(), 'estimator__C': 100, 'estimator__gamma': 1e-05, 'estimator__kernel': 'rbf'}",0.45999999999999996,0.975,154
"{'estimator': SVC(), 'estimator__C': 1000, 'estimator__gamma': 0.001, 'estimator__kernel': 'linear'}",0.45999999999999996,1.0,154
"{'estimator': SVC(), 'estimator__C': 1000, 'estimator__gamma': 0.001, 'estimator__kernel': 'rbf'}",0.43999999999999995,1.0,168
"{'estimator': SVC(), 'estimator__C': 1000, 'estimator__gamma': 0.0001, 'estimator__kernel': 'linear'}",0.45999999999999996,1.0,154
"{'estimator': SVC(), 'estimator__C': 1000, 'estimator__gamma': 0.0001, 'estimator__kernel': 'rbf'}",0.45999999999999996,1.0,154
"{'estimator': SVC(), 'estimator__C': 1000, 'estimator__gamma': 1e-05, 'estimator__kernel': 'linear'}",0.45999999999999996,1.0,154
"{'estimator': SVC(), 'estimator__C': 1000, 'estimator__gamma': 1e-05, 'estimator__kernel': 'rbf'}",0.45999999999999996,1.0,154
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 50, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 2, 'estimator__n_estimators': 50, 'estimator__random_state': 0}",0.52,1.0,103
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 50, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 2, 'estimator__n_estimators': 100, 'estimator__random_state': 0}",0.5,1.0,128
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 50, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 2, 'estimator__n_estimators': 150, 'estimator__random_state': 0}",0.54,1.0,61
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 50, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 2, 'estimator__n_estimators': 200, 'estimator__random_state': 0}",0.54,1.0,61
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 50, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 3, 'estimator__n_estimators': 50, 'estimator__random_state': 0}",0.52,1.0,103
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 50, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 3, 'estimator__n_estimators': 100, 'estimator__random_state': 0}",0.5,1.0,128
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 50, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 3, 'estimator__n_estimators': 150, 'estimator__random_state': 0}",0.54,1.0,61
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 50, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 3, 'estimator__n_estimators': 200, 'estimator__random_state': 0}",0.54,1.0,61
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 50, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 4, 'estimator__n_estimators': 50, 'estimator__random_state': 0}",0.52,1.0,103
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 50, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 4, 'estimator__n_estimators': 100, 'estimator__random_state': 0}",0.5,1.0,128
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 50, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 4, 'estimator__n_estimators': 150, 'estimator__random_state': 0}",0.54,1.0,61
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 50, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 4, 'estimator__n_estimators': 200, 'estimator__random_state': 0}",0.54,1.0,61
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 50, 'estimator__min_samples_leaf': 3, 'estimator__min_samples_split': 2, 'estimator__n_estimators': 50, 'estimator__random_state': 0}",0.52,1.0,103
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 50, 'estimator__min_samples_leaf': 3, 'estimator__min_samples_split': 2, 'estimator__n_estimators': 100, 'estimator__random_state': 0}",0.54,1.0,61
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 50, 'estimator__min_samples_leaf': 3, 'estimator__min_samples_split': 2, 'estimator__n_estimators': 150, 'estimator__random_state': 0}",0.54,1.0,61
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 50, 'estimator__min_samples_leaf': 3, 'estimator__min_samples_split': 2, 'estimator__n_estimators': 200, 'estimator__random_state': 0}",0.56,1.0,28
